Value,Disaggregation combinations using this value,Number of indicators
ts_account,636,1
ts_account_edu_prim,636,1
ts_account_edu_secd_above,636,1
ts_account_in_lf,636,1
ts_account_men,636,1
ts_account_old,636,1
ts_account_out_lf,636,1
ts_account_poor40,636,1
ts_account_rich60,636,1
ts_account_rural,636,1
ts_account_urban,636,1
ts_account_women,636,1
ts_account_young,636,1
